date,open,high,low,close,volume
2010-07-01,0.8411,0.84794,0.83147,0.84677,158250
2010-07-02,0.84682,0.85096,0.84013,0.8425,117399
2010-07-04,0.84104,0.84273,0.8403,0.84174,1165
2010-07-05,0.84174,0.84663,0.83697,0.83731,50721
2010-07-06,0.83736,0.85585,0.83158,0.85049,114582
2010-07-07,0.85049,0.86623,0.84483,0.86315,105278
2010-07-08,0.86315,0.879,0.86265,0.87709,103741
2010-07-09,0.87701,0.87794,0.87262,0.87722,79965
2010-07-11,0.877,0.87785,0.87549,0.87639,817
2010-07-12,0.87639,0.8775,0.87006,0.87574,84468
2010-07-13,0.87574,0.88401,0.86813,0.88363,112857
2010-07-14,0.88368,0.887,0.87843,0.88168,108515
2010-07-15,0.88164,0.88484,0.87259,0.8834,141865
2010-07-16,0.8834,0.88341,0.86804,0.86952,115669
2010-07-18,0.86561,0.86737,0.86475,0.86508,2181
2010-07-19,0.86508,0.87183,0.86318,0.86709,105020
2010-07-20,0.86714,0.88451,0.86664,0.88225,126658
2010-07-21,0.88225,0.8858,0.8759,0.87614,115534
2010-07-22,0.87611,0.89513,0.87362,0.89423,131007
2010-07-23,0.89425,0.89707,0.88963,0.89684,129912
2010-07-25,0.89552,0.89614,0.8927,0.89421,2437
2010-07-26,0.89415,0.90348,0.894,0.9014,128483
2010-07-27,0.9014,0.90682,0.89985,0.90074,114896
2010-07-28,0.90079,0.9024,0.8904,0.89247,136842
2010-07-29,0.89251,0.9042,0.89215,0.90155,128487
2010-07-30,0.90159,0.90655,0.89644,0.90446,133444
2010-08-01,0.90536,0.90655,0.90441,0.90509,1921
2010-08-02,0.90506,0.91446,0.905,0.91251,106174
2010-08-03,0.91251,0.91488,0.90693,0.91267,100203
2010-08-04,0.91265,0.91821,0.90939,0.9164,100576
2010-08-05,0.9164,0.9174,0.91154,0.91494,87679
2010-08-06,0.91495,0.92211,0.91341,0.91874,90770
2010-08-08,0.91882,0.91909,0.91741,0.91802,943
2010-08-09,0.91804,0.92047,0.91524,0.91565,76345
2010-08-10,0.91565,0.91638,0.90573,0.91295,103791
2010-08-11,0.91295,0.9133,0.89313,0.89426,124328
2010-08-12,0.89429,0.90073,0.89131,0.89722,126270
2010-08-13,0.8972,0.90341,0.89241,0.89247,99147
2010-08-15,0.89285,0.89377,0.89201,0.89377,911
2010-08-16,0.89377,0.89932,0.88579,0.89565,118557
2010-08-17,0.89565,0.90785,0.89442,0.905,102500
2010-08-18,0.905,0.90544,0.89656,0.8981,104241
2010-08-19,0.89815,0.90173,0.89041,0.89119,116119
2010-08-20,0.89119,0.89316,0.88399,0.89211,110957
2010-08-22,0.88605,0.88859,0.88564,0.88789,1859
2010-08-23,0.88794,0.89819,0.88741,0.89026,86837
2010-08-24,0.89029,0.89045,0.87954,0.88315,116930
2010-08-25,0.8832,0.8894,0.87701,0.88448,116092
2010-08-26,0.88443,0.89174,0.88306,0.88453,102726
2010-08-27,0.88453,0.8998,0.8844,0.89888,96110
2010-08-29,0.90161,0.90275,0.90025,0.90261,958
2010-08-30,0.90261,0.90295,0.89125,0.89136,32753
2010-08-31,0.89149,0.89555,0.88595,0.89298,48346
2010-09-01,0.89297,0.91154,0.89112,0.90986,105685
2010-09-02,0.90986,0.91201,0.90533,0.90972,87907
2010-09-03,0.90972,0.91748,0.90652,0.91666,79051
2010-09-05,0.91541,0.9164,0.91513,0.91523,1387
2010-09-06,0.91523,0.91801,0.91447,0.91646,50178
2010-09-07,0.91648,0.91771,0.90911,0.91035,116548
2010-09-08,0.91035,0.91928,0.9102,0.91805,106040
2010-09-09,0.91805,0.92762,0.91677,0.9227,103883
2010-09-10,0.9227,0.92678,0.92041,0.92654,83819
2010-09-12,0.92966,0.93015,0.92865,0.92898,2090
2010-09-13,0.92898,0.93613,0.92862,0.93387,81274
2010-09-14,0.93387,0.94563,0.93123,0.93925,104961
2010-09-15,0.93925,0.94293,0.93414,0.93863,111909
2010-09-16,0.93859,0.93944,0.93293,0.9358,94281
2010-09-17,0.93578,0.94674,0.93495,0.93603,96009
2010-09-19,0.93749,0.93835,0.93672,0.9373,956
2010-09-20,0.93721,0.94933,0.93605,0.94623,81607
2010-09-21,0.94625,0.95632,0.94406,0.95365,92486
2010-09-22,0.95365,0.96,0.95083,0.95302,116251
2010-09-23,0.95302,0.95741,0.9466,0.94957,122255
2010-09-24,0.94957,0.9614,0.94614,0.95951,108976
2010-09-26,0.96088,0.9622,0.95965,0.9605,1617
2010-09-27,0.96054,0.96431,0.95726,0.95969,103309
2010-09-28,0.95966,0.96852,0.9558,0.96681,110466
2010-09-29,0.96681,0.97285,0.96574,0.96905,120955
2010-09-30,0.96903,0.9733,0.96233,0.96445,142623
2010-10-01,0.96446,0.9749,0.9635,0.97269,111529
2010-10-03,0.9723,0.9729,0.97124,0.97136,1583
2010-10-04,0.97133,0.97215,0.96517,0.96702,120637
2010-10-05,0.96705,0.97251,0.95405,0.97138,167403
2010-10-06,0.97145,0.97905,0.96926,0.97625,143439
2010-10-07,0.97635,0.99166,0.97556,0.98221,150983
2010-10-08,0.98209,0.98712,0.97078,0.98592,152389
2010-10-10,0.98894,0.99028,0.98845,0.98928,1791
2010-10-11,0.98928,0.99055,0.98208,0.98377,101108
2010-10-12,0.98378,0.98764,0.97657,0.98645,168318
2010-10-13,0.98645,0.99361,0.98327,0.99123,134283
2010-10-14,0.99123,0.99931,0.98994,0.99318,150487
2010-10-15,0.99318,1.00023,0.98617,0.98895,154615
2010-10-17,0.99197,0.99217,0.98808,0.98871,1374
2010-10-18,0.98862,0.99435,0.97998,0.98915,136629
2010-10-19,0.98915,0.99583,0.96608,0.97063,228145
2010-10-20,0.97063,0.9889,0.96625,0.9854,204037
2010-10-21,0.9854,0.98906,0.97415,0.97856,192177
2010-10-22,0.97859,0.9853,0.9757,0.98123,134723
2010-10-24,0.98646,0.98646,0.98328,0.98328,1763
2010-10-25,0.98323,0.9973,0.9823,0.98976,139251
2010-10-26,0.98976,0.99262,0.98135,0.98614,179566
2010-10-27,0.98611,0.98632,0.96505,0.97257,187637
2010-10-28,0.97256,0.98188,0.97228,0.97858,157742
2010-10-29,0.9786,0.98213,0.96774,0.9795,163493
2010-10-31,0.98467,0.9866,0.98427,0.98479,1605
2010-11-01,0.98479,0.99136,0.98122,0.98739,116136
2010-11-02,0.98739,1.00226,0.9865,0.99914,152141
2010-11-03,0.99914,1.00637,0.98924,1.00433,156327
2010-11-04,1.00433,1.0175,1.00193,1.01482,154230
2010-11-05,1.01482,1.01819,1.0084,1.01484,148972
2010-11-07,1.01458,1.01631,1.01375,1.01619,2518
2010-11-08,1.01616,1.0165,1.00775,1.01008,130590
2010-11-09,1.01008,1.01722,0.9997,1.00439,195814
2010-11-10,1.00443,1.00712,0.9974,1.00439,204964
2010-11-11,1.00442,1.00842,0.99515,0.99626,162043
2010-11-12,0.99627,1.00032,0.98243,0.98657,208317
2010-11-14,0.98697,0.98906,0.98635,0.9887,1608
